PaymentMethodID,CustomerID,CardType,CardLast4,ExpirationDate,BillingZipCode,RowHash
b0cacdc6-e3cd-4fb6-a095-e26171e15cc3,e073b0a4-d2f4-45a1-b8ce-63b5075e168c,Discover,7989,2028-12-12,91534,65a77c941fa9e1b179ed9484b1d85b01
d4b0e847-68bd-40cc-93e6-3c341180237f,796b2e76-cb5e-45a0-bba5-55e3896f4a19,Visa,5276,2028-10-26,05541,9ca658f2e15bdad2a952988e58e42049
9b61fe3d-1c06-45e7-a9d9-03807d65f575,1e9a0433-e9bc-421d-9dbb-d2cbf6fb2297,Discover,3049,2028-04-24,27845,efc773953970a815a585791205d116f7
eeea6baf-e74c-427b-b8b3-9b1652f78efa,e073b0a4-d2f4-45a1-b8ce-63b5075e168c,Visa,7062,2028-05-06,94906,45f350e6debb5e96918c09bacee6920e
227e98ce-e28e-47df-80f0-160d869742a6,eb0851e2-3417-47e5-b97e-36ebf487607f,MasterCard,1070,2026-12-09,22760,e60a0afc1ac1c537b0fa242e3b36a662
a819dfc5-a5ce-4e70-8f45-b2ff93ba5d2c,ee85931e-020f-4408-8af2-2b9bf4edd7b8,Discover,6971,2028-12-25,95395,6ec0b413e90a153683d8dd4152675aed
23d55425-1a3c-4f4f-bd8f-3b05f32b3331,df600f99-242b-4e78-acfa-07fe39eabd9e,Visa,8349,2026-10-31,65975,365ffb547078a564a67c5824f10f0a15
8bb62be3-0dc4-40e3-82a3-5d2057383f95,c0e366b0-4820-408e-94df-b7532085e9c5,Discover,7701,2028-01-08,36443,f25f9d12e4deb2b1da3e274d09a10204
052ac9b4-6869-4823-aa31-42b80f8c3e27,b92ca163-e06f-44a7-896f-f4b2dd7e856f,Discover,6459,2028-08-16,02469,a3d8d0efcfe1caa18cb7f7c706b2448d
c701f9a7-9d2a-4fe8-ab70-be89fe0b20a3,7c5d467f-5fb0-4f77-905f-8acef67d84a3,MasterCard,5757,2027-04-14,52925,d941cdcdbab0f653fd1b42f1d5f87fcf
eaa5c390-ac12-4a43-8e83-ac3e1f1e0269,5e419f86-6e6b-4b45-a140-d03228124ecb,Amex,5061,2026-08-27,37949,d54b31f9d0484f4e800af77cd2924238
c7b1996f-0e15-4ded-affe-6cbc35a8a4cc,2998fa4a-22d8-4603-a0fe-09f27c36a0db,Discover,5220,2029-01-21,88035,936efb2309578c62fe616817448af2fd
66fca90e-9322-4647-afc5-56bcacd7bc86,86664865-4e84-4896-b9b1-3d58a3c19a13,MasterCard,6209,2029-08-19,47141,82b6de31f642c3fa3523786f774791a8
4e42f9c7-8c69-4a12-8af6-6bb9fef713f8,2cc9a5a2-91d7-492b-8d35-7118e35f4dde,Visa,4181,2027-08-26,33378,b2124f90de161c7601db4a9f37ae6cc7
73732fad-bb14-4896-ad9a-4593929b9494,7c5d467f-5fb0-4f77-905f-8acef67d84a3,Amex,7630,2026-06-20,89476,c239bd14a4684a04a39637276a89be45
02579289-de6b-4c45-84a5-02187d53afd7,b92ca163-e06f-44a7-896f-f4b2dd7e856f,Visa,1849,2029-05-31,24396,696e606873ab13a5d76fc8e8d62f09ca
0cc43719-7d07-44c6-82eb-b9b84e07473a,d00399b5-89cb-48fa-8d60-5ea1f649b655,Discover,9124,2028-11-21,10965,276ade223d0ea84c1bdcc08c1075dd76
f66e6d71-595e-4809-b503-1518d63f9b7a,1839e3f3-d986-40e7-b0da-022e91928a13,MasterCard,2200,2030-03-30,80644,13cd6224959b44bfbf96ea99365176a6
ab787416-52ad-4ff6-99ef-fe40c1a76b2c,d00399b5-89cb-48fa-8d60-5ea1f649b655,Amex,2017,2027-11-25,50613,d825654af08fbbadb12ddd4fb3dbf28e
7519549f-d39f-4480-b6c5-7e8a547554ed,2cc9a5a2-91d7-492b-8d35-7118e35f4dde,Discover,2411,2027-10-11,03034,614ad2dce0c6001c9ae6ddb4dd6638d6
a7678ef1-6540-493c-b6d3-ef2b4bce7699,84f6c6dd-37d3-4909-801e-b3d78f3e8099,MasterCard,1737,2029-03-10,43085,64912b283f5c89b97455d56c767aa578
2849229e-f203-4541-938e-bd74fdfc60d2,f794693d-2fce-4b93-9462-2e86678f3a10,Amex,2162,2029-07-16,68997,7d28e825356d986c303c744e05b2e966
607511de-8e5a-4660-8099-9c00f29c2cb8,5638cc23-cfdb-40de-9577-4997569c48f3,MasterCard,9448,2027-07-22,73954,b280f6617adc7fd9b821e9e1fb50699d
a9f324ca-4ef5-4cb2-a933-6902d95bf96d,7c5d467f-5fb0-4f77-905f-8acef67d84a3,MasterCard,4440,2027-08-22,09799,6f83c7aac8c13412b7788877ff5fb188
b5d95d86-037b-45a3-8ead-d926681cf21d,6e33f6a3-8056-4cdc-abd5-b6554a925aca,Visa,4110,2029-01-28,36059,3cf00f9ddfe4fe8cb327c653e186b538
f6894237-89c9-42e3-b091-464c56f5b535,0475a1c4-c35b-4ecb-be0a-6103af0e3d5d,MasterCard,5815,2028-10-14,24041,4ba8d69b1f96e2916ae80beb88c9ae6e
dbc06462-0c7d-4fb5-ac6a-d3ff2aa2c747,2998fa4a-22d8-4603-a0fe-09f27c36a0db,Amex,8349,2029-10-17,17118,d9020c6e3ee8b8d9c44462bfd86a3128
8c02dcfa-9cf3-4161-88e6-ff53a0e1cf08,829df66c-a6f3-474c-bc06-48d34aa71c44,Visa,5438,2028-08-24,29850,a04ae2c4205598958a9c16d0016c10e1
b05db8dc-b82d-43bb-b18a-045bc10d6526,d00399b5-89cb-48fa-8d60-5ea1f649b655,Discover,1420,2029-12-02,43494,b7d31d7df99678e05f6bdd2f8255ab96
1c15729d-ba43-4c3d-9743-ece1d0e84203,dbe6c8e6-7cc4-477d-ab61-f3f2e5dce341,Discover,3108,2029-05-23,53132,0414ce76950758f81fd85d4b2b6056c2
c76eb6bc-e81b-4dee-a0cb-40592c9f3096,1d301ea7-8438-4977-bbde-d4ecb1b9ca1d,MasterCard,6164,2026-07-03,93441,2992a0acdfb92fc6f7c9eea5f658e315
60f60a6a-51f8-44a1-a00f-6d257054fc34,017092b9-a700-41e2-8365-eeeddf441c3d,Visa,8707,2026-12-05,18173,979596bad30c3aa79ea6c569474e4d5a
20f0c92e-12a8-4c01-9dd3-efba20dc9396,e6dfc052-6a5e-4aa6-aca6-ff3581a23a84,Amex,2248,2029-12-02,78275,6ffdd20960c1b60b45699e93944a9a8d
59b12712-1f8d-4a08-be55-16c3c626cea3,1d301ea7-8438-4977-bbde-d4ecb1b9ca1d,Visa,8720,2027-05-10,47229,b3a41880335427ee9f2d9b669c45f34e
69c5c343-cc2b-44e1-adb0-c115065fed1e,b2e5b4e2-91a8-4068-9831-4763263ae50f,Visa,6853,2030-03-14,08894,3fec2005958d2830a64db5c54dbe3230
79e22a1d-9e13-45db-962b-9af8ba5b04f8,3bb1717d-21cd-470c-9e89-3c63077a1359,Discover,4914,2026-09-16,87424,0e43d2d3f34d6ef77e13af1a89304d03
dc599d49-f553-44a1-921c-0660997a0da6,2421a4de-b9b6-4373-992d-f10380e8449e,MasterCard,9818,2028-06-07,39830,8956ea3f6ba628dcca1e24006df9ff46
84f049ad-8ea2-4748-b294-897e50663c57,5638cc23-cfdb-40de-9577-4997569c48f3,Amex,2285,2030-02-04,67486,aa421a0375ee5137740b06eecec58fdc
0c2b31c3-71ba-432b-b3a9-f54dc1086b77,bed734db-9554-4ebe-b415-628b657962d6,Amex,7283,2029-01-22,53733,9e33ae6a90f53077a91e31ddcd4a4261
ce1aba5d-90af-47dc-a128-4727dd47193f,e52160b8-9208-4ee8-b49e-702370bb38e0,Amex,1606,2027-03-02,54964,2139a7e03a6b5aa0a3631d0c8134e687
5a972512-bce6-44c3-a0af-b51409462106,788d99f0-9972-408f-858c-28268e4d1d93,Visa,6800,2029-01-01,32306,2e440456d6415a67d5f02a087d280c12
c5246cb4-3de7-4c34-8ae9-94145b5caf19,85c32511-7f37-4de1-882f-2efa8040dea4,Visa,6641,2030-04-18,71322,d3223791d3154b0b71cc340f187f6f38
d183d95f-e53e-4c05-a27c-2cc3e1ad6149,a9cda48f-5bc6-47eb-88d3-50606128be2d,Visa,2563,2029-06-27,06554,a24db182f4761dbaa8b593988766abdc
f7de6cd8-f69c-431f-ab87-db9b7f1cd547,67403e9f-0231-4a15-848a-d9cea4795a2a,Discover,5269,2027-11-06,71133,c7ec497431d56fab0980be917756bb77
1810109b-cd66-4a4d-9384-9b814d8c8bc5,bed734db-9554-4ebe-b415-628b657962d6,Discover,6992,2027-06-09,51837,6996c98ffeedad21e7e6a7ab32b74943
1654cd45-e831-4c3b-be97-c725db3da96d,df600f99-242b-4e78-acfa-07fe39eabd9e,Visa,7526,2026-07-02,62704,742dcf5eb8b1bf4b6fdd49ab4e5a03f7
2ae3b9da-c079-4435-a01f-f5d3f3dd0237,0094c41e-8408-4846-b185-fbf114db7a0d,Discover,8746,2026-05-21,87154,c37e6dd8286f6f7a28482bd2e672df67
11711456-450a-459c-9fe3-06ee7910bf4f,5e419f86-6e6b-4b45-a140-d03228124ecb,Visa,5670,2029-09-26,34954,ba5a89b13466f315d9c9809567ade7cd
6b38165f-b1eb-40c8-aa8d-913b010172d6,65979d31-3be2-4e1d-8bcf-c43c3bfc1891,MasterCard,1206,2027-05-02,44709,8ba64db0efa29d0d9567c9d23d4ddc43
5e61be5e-a8ab-4357-acab-6e28e5757ad4,54908c4a-1561-4b07-b9d8-8cfdf77e25a7,Amex,6225,2029-03-18,91989,54fa4903c46e2cf956d2ac09bb9bca3d
f2e0dea1-a79a-4320-a318-8862c88dbbdb,2998fa4a-22d8-4603-a0fe-09f27c36a0db,Visa,9840,2026-10-21,64324,165ecc7cbe6249f913cbd7d479d0a687
71f821cd-836e-48c9-b8f2-f12752a048d3,422d5e26-8e3d-4eac-b286-f70ead07c1f4,Visa,5073,2027-12-14,79961,0dd644239c497adcd785af2a98787945
3d51bc93-8ab1-46ab-9ee5-15f3ee10cc5e,788d99f0-9972-408f-858c-28268e4d1d93,MasterCard,3919,2027-03-05,11037,8e0a129923e0fac0b0e0e793da0c7fdb
358a5107-7e6a-46e0-8cbc-189b1251238e,ee85931e-020f-4408-8af2-2b9bf4edd7b8,Visa,4424,2028-03-21,21538,6a45b76d4229e6c8bfed9b9e261242c2
de8e6514-66aa-4239-aa3d-7ed51c5532cf,5638cc23-cfdb-40de-9577-4997569c48f3,Discover,7449,2028-02-26,09077,060dc14faa4222f1ba5262f9a74090ea
c889d338-880e-4e1a-aebe-4d2012ff0424,7ec92f10-c40e-4160-b34b-395017c26b71,MasterCard,1653,2030-02-07,04874,5eba7377052ecf3040ac5b4cee0657a8
db6d3a2b-4662-4952-983d-c3d516e404e4,68bdc8a7-ac0a-4ba3-a509-ce917bde451a,Amex,9912,2028-08-29,88757,fe32af4c72353eaebd6a0a52941da76d
829eaae9-3ad2-40c7-b563-24f22a34a101,9b1ddb4a-54b2-4afc-bce8-defb8d65c1f3,Discover,5566,2029-11-11,34941,b15869fa5f44c28cbc3464c7ac24d0d0
51012b35-fcf0-49e2-a8fa-e5832be1d238,b2e5b4e2-91a8-4068-9831-4763263ae50f,Visa,8287,2027-10-01,52542,9dcb55e1316fb98dc523297a00a1b645
bb4b9ad5-ceb5-4ea0-9d5c-ae08e50673bd,efd12b55-23e9-4f58-a207-35e1da7e7afe,Visa,3483,2027-03-20,85043,bb31a10791341b9d59fc82a1cea8eb62
05e8aced-e35a-4d78-be8e-656a62cb0da9,ff2d9922-b0db-4e79-9e69-dde9abb78db2,Amex,3579,2026-09-07,99525,defb50a4431aba6e8d2cfd5190ce4f4c
c55b7ac3-b920-4f8b-ab57-85311d8486ed,788d99f0-9972-408f-858c-28268e4d1d93,Amex,2483,2030-02-13,33393,ca2451f9b040b962170af77a95e1294e
05823405-f139-4e25-b280-fd21701aec93,15da51da-ad36-4db6-958f-37f69e74b4b6,Amex,8165,2028-04-05,89914,ae7f3ef6fe88e192c7874bdbc93e771e
30e028fc-65a3-471c-b66f-edf04b0d9ca2,02cb4728-42fb-4733-962c-19a1d3c00406,MasterCard,4337,2028-11-16,52545,bd3bcd3d20df7463a16f5cfb6328cfae
daae9600-7dbb-4710-b91c-b311bc81fa2c,cca906af-6247-4f65-82be-311947bfff74,MasterCard,6612,2026-10-20,24034,60932a0f99efff476a0d84e4d02246b3
d641a040-fdbb-40b1-8881-6ed1b8a9a15b,cca906af-6247-4f65-82be-311947bfff74,Discover,3165,2028-02-26,44507,c9b43b72e46dc789bfc7250cdee186b0
0d10ae8d-3d61-4770-8c39-11a36c6030c7,1839e3f3-d986-40e7-b0da-022e91928a13,Visa,4110,2026-07-28,69650,5e6b934a53e362ac709cd77d301dfd0f
2404846e-c880-4fae-958e-751e7f294383,788d99f0-9972-408f-858c-28268e4d1d93,Discover,5914,2028-08-20,93754,fa396604a2a9f4b5fc388ddacb5d10a8
05bcf3e5-ff37-42f1-9b0a-4b97f6a456a6,9d69cc1c-f492-4f69-938c-91efee85a672,Visa,9243,2028-12-12,79853,4a6941d1c1d6081c8c1770b3e651f966
226c84cb-c517-4c0e-a53a-3018ff57887d,f326cd1e-3549-45d6-9382-4ce1eebadcf0,Visa,8077,2028-06-05,47708,98509190fc119800f60e67c23b03be80
dedd6bfd-ce36-4c7d-bcda-daa3d99a114f,cc7e6efc-6c65-4b2c-9314-ee7b451acbdf,Visa,9283,2027-10-14,66775,4d03e68d67021566e7cb0b8403fa673e
0d1dd64f-7614-4cbc-a37f-f7f57428f4a2,cca906af-6247-4f65-82be-311947bfff74,Discover,1697,2029-10-28,42447,3abdd6740061c09763d8cfe759139570
142d6408-d8a2-4c60-820c-de7ef76b1fd0,6b429bc0-656f-47dd-9580-28efbaf20c9b,MasterCard,1672,2027-03-10,62464,7827aa913e5220390921d75adbaf3bed
9062f7c4-d063-438d-b3ba-ca30f30b8c35,8070fcf1-87d8-48e5-988f-1f369c06cdc1,Visa,2518,2028-11-14,79285,40cb9f8d3ad62daf07659ddeb0e40083
8761c216-fe26-49cb-b427-49fea114f668,8a2b7c00-2a2a-434d-af0b-86e03d94e54d,Amex,4643,2029-03-12,63005,4eb5b5c813ed7d56a63d5d393a004b2b
d641e9b6-1258-4636-a85f-7f3bf587af97,ee85931e-020f-4408-8af2-2b9bf4edd7b8,Visa,4271,2028-08-26,67541,78ab2d259dd8384d0d58fa91b3ecd90d
413e0813-8921-4781-a1cf-aaed7c9bab9a,0e725382-cfa7-4eea-b824-68123317826d,MasterCard,7386,2029-12-05,11159,3c140153d165ef63fa0f0fb403c06adc
0f036bf7-cd74-48b4-8c9d-594062f16e62,15da51da-ad36-4db6-958f-37f69e74b4b6,Visa,2576,2028-03-03,93736,4fccd57b34213598efe9e4d01e0a76e1
67f12b5f-55a8-4e0a-870e-4a720916b0c4,9e99f1a9-2f4f-4656-b1f9-52feeb5fe236,Amex,6546,2028-02-22,67998,13e8b76843cb6535479cd5181d593c3d
2878b7d3-2204-4684-84f6-fe9f39857f25,1e9a0433-e9bc-421d-9dbb-d2cbf6fb2297,Visa,6618,2029-01-22,06156,e388632547b0a72c2c49b3da01d453cb
67d2be04-fe0a-4d55-bcd4-92269962d984,a5cef112-752a-40ba-b573-df00b771d56a,Discover,4948,2029-01-05,53540,0afaad5e7ff4c4356c48f6633cba4da4
ba770ee6-4e95-42ec-b778-f224cab34ee8,93a2faf7-17c8-4513-b63e-f27c8b36314e,Visa,2825,2027-10-06,10731,4a8fed65d47bf8136564b92a5d789f9d
caad2eec-399f-4b09-9f5f-751824884c70,6b429bc0-656f-47dd-9580-28efbaf20c9b,Discover,1529,2026-10-21,75784,63a74aceeb3262aceab6bc11b5da7bd6
0121a324-206f-4c0d-8b08-c37dae3a2263,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,Discover,3603,2028-09-11,98910,3f708da681c74c9843456466f4706922
3fe48f53-829a-45ce-b84c-d1845297e8ea,f794693d-2fce-4b93-9462-2e86678f3a10,Visa,6137,2030-03-04,67003,c0cc6529ddf02ab0912593994c7b4ef3
d0ee810f-1936-47db-b2f8-95263df460c4,2cc9a5a2-91d7-492b-8d35-7118e35f4dde,Discover,1114,2028-09-18,58878,b2fbf89958d0bbcc2f315768d4e6beeb
ac4a3014-32fa-423f-a51f-d9278f87ec3d,90448626-31aa-4d65-a854-dab84c21bac0,Discover,5466,2027-07-30,84902,f7d96c5c35c8f6f8d6ec889305a74bbd
f332ed7e-3c23-4751-80ce-2a5b3c5cc6bd,0cae327d-3c1c-4b9b-b1e0-103207463ade,Amex,5854,2027-08-25,92932,c769eda73681a9d55a6f8a7d9057d70c
7f128dd2-5779-43a8-b287-e2836d83ea65,7c5d467f-5fb0-4f77-905f-8acef67d84a3,Visa,9713,2028-05-18,25947,e8ea1e9d2e1e80dae5d3f73db5886296
b90115e6-adca-46e2-8f72-695684a43122,8070fcf1-87d8-48e5-988f-1f369c06cdc1,MasterCard,4222,2029-09-22,24184,e8487042f86aa1829c7c55db78700103
41f6dd87-3403-42a5-b12a-a7d143b88e33,ee85931e-020f-4408-8af2-2b9bf4edd7b8,Discover,2040,2026-09-18,62722,b00c72ca6e8b810d1f8a2d72876c6924
75041cdf-a210-4b78-b5ba-cffab8351c21,5cefce5f-5a44-4f10-8dd7-0c809c4c169e,Discover,2203,2029-01-30,59822,a9b94e71adcf314d8132e90d063eae8f
c94a5169-41f6-4228-84dc-faa25b9a5280,545d1542-4e1e-4804-851b-400d5b020f68,Amex,4995,2028-07-10,42829,0bc25e4d143d0c01795bc6ebc37c67c3
2c8ffe95-5dea-43db-bd71-6b92931e06c6,6ade7926-18a4-43be-bb13-3e4a5b1f455e,Amex,7901,2027-08-10,42188,1a49d0e61e7385971a1883a817087697
0b0028cf-036b-4a91-8bd8-f9e8d7b650db,cc7e6efc-6c65-4b2c-9314-ee7b451acbdf,Discover,7687,2028-04-27,37879,56cef63a1b8c95ec3c8b750b444a4c09
4e87e22d-5a94-493b-b485-91b74da8d9ee,968a9a9b-e535-45fc-802e-9f05148e0052,Discover,3945,2030-03-02,63023,162302b1fb9a512f5a4961d08744719e
cd4eb433-97b4-42ab-8489-713435aec5b2,df600f99-242b-4e78-acfa-07fe39eabd9e,Amex,7159,2030-04-15,89856,d2bfe107587be93ed9168ee69ba61b1d
c4761abf-2e85-4e6e-b484-db735bf79b37,5e419f86-6e6b-4b45-a140-d03228124ecb,Amex,4802,2028-04-28,03561,6fc629dc31d52b5c9f81e16775fcfe7e
