StaffID,StoreID,FirstName,LastName,Role
STAFF00001,STORE073,Matthew,Frey,Manager
STAFF00002,STORE033,Gary,Gray,Sales
STAFF00003,STORE031,Krystal,Garcia,Sales
STAFF00004,STORE064,Dominic,Miller,Stocker
STAFF00005,STORE002,Megan,Morgan,Cashier
STAFF00006,STORE007,Rodney,Daniels,Cashier
STAFF00007,STORE052,Cameron,Blevins,Cashier
STAFF00008,STORE005,Emily,Johnson,Manager
STAFF00009,STORE020,David,Mcclain,Manager
STAFF00010,STORE063,Misty,Stanton,Manager
STAFF00011,STORE073,Rachel,Keller,Stocker
STAFF00012,STORE025,Chad,Scott,Stocker
STAFF00013,STORE047,Patricia,Terry,Manager
STAFF00014,STORE071,Haley,Sullivan,Sales
STAFF00015,STORE060,Trevor,Farrell,Cashier
STAFF00016,STORE056,Melissa,Mcgee,Sales
STAFF00017,STORE033,Michael,Saunders,Cashier
STAFF00018,STORE071,Amber,Humphrey,Manager
STAFF00019,STORE065,Sean,Davis,Manager
STAFF00020,STORE020,Jackie,Wilson,Cashier
STAFF00021,STORE074,Victor,Berger,Sales
STAFF00022,STORE058,Melissa,Vega,Sales
STAFF00023,STORE007,Anthony,Miller,Manager
STAFF00024,STORE076,Sherri,Cochran,Sales
STAFF00025,STORE051,Jo,Reynolds,Manager
STAFF00026,STORE060,Lance,Hood,Stocker
STAFF00027,STORE032,Robert,Butler,Cashier
STAFF00028,STORE033,Kyle,Luna,Stocker
STAFF00029,STORE065,Brandon,Wright,Sales
STAFF00030,STORE058,Jeffrey,Benjamin,Cashier
STAFF00031,STORE065,Anna,Stevens,Cashier
STAFF00032,STORE021,Laura,Williams,Manager
STAFF00033,STORE030,Ann,White,Manager
STAFF00034,STORE025,Arthur,Jackson,Sales
STAFF00035,STORE006,Kristin,Velazquez,Sales
STAFF00036,STORE068,Angela,Holloway,Stocker
STAFF00037,STORE064,Michael,Pham,Sales
STAFF00038,STORE047,John,Lambert,Stocker
STAFF00039,STORE012,Kristine,Mcclain,Manager
STAFF00040,STORE042,Christopher,Martin,Cashier
STAFF00041,STORE079,Michelle,Craig,Manager
STAFF00042,STORE052,David,Mcdonald,Stocker
STAFF00043,STORE051,Jeremy,Ball,Stocker
STAFF00044,STORE008,Daniel,Davis,Sales
STAFF00045,STORE062,William,Jones,Cashier
STAFF00046,STORE017,Lisa,Thomas,Cashier
STAFF00047,STORE008,Kelly,Cobb,Manager
STAFF00048,STORE034,Cesar,Mendez,Stocker
STAFF00049,STORE017,Johnny,Gray,Sales
STAFF00050,STORE074,Donald,Bruce,Sales
STAFF00051,STORE029,Christopher,Franco,Stocker
STAFF00052,STORE071,Jennifer,Willis,Manager
STAFF00053,STORE033,Lisa,Reynolds,Sales
STAFF00054,STORE048,Kaitlin,Ramos,Manager
STAFF00055,STORE053,Matthew,Young,Manager
STAFF00056,STORE033,Lisa,Decker,Cashier
STAFF00057,STORE079,Laura,Farley,Sales
STAFF00058,STORE032,Alisha,Lewis,Sales
STAFF00059,STORE050,Joanne,Harrison,Stocker
STAFF00060,STORE066,Lynn,Jones,Cashier
STAFF00061,STORE074,Christopher,Bryant,Stocker
STAFF00062,STORE074,Robert,Irwin,Stocker
STAFF00063,STORE076,Jonathan,Parker,Manager
STAFF00064,STORE034,Thomas,Snyder,Sales
STAFF00065,STORE036,Susan,Mason,Stocker
STAFF00066,STORE075,Joshua,Anderson,Stocker
STAFF00067,STORE055,Christine,Brown,Cashier
STAFF00068,STORE040,Christopher,Pham,Stocker
STAFF00069,STORE078,Jasmin,Fields,Stocker
STAFF00070,STORE015,Monica,Gonzalez,Manager
STAFF00071,STORE037,Anna,Weaver,Stocker
STAFF00072,STORE011,Anthony,Thomas,Sales
STAFF00073,STORE031,Phillip,Morales,Manager
STAFF00074,STORE009,Ryan,Castillo,Sales
STAFF00075,STORE015,Charles,Hernandez,Cashier
STAFF00076,STORE022,Charles,Simpson,Stocker
STAFF00077,STORE018,Kayla,Richardson,Stocker
STAFF00078,STORE075,Kylie,Jones,Cashier
STAFF00079,STORE001,Melanie,Ford,Sales
STAFF00080,STORE023,Nicole,Smith,Manager
STAFF00081,STORE015,Kenneth,Stewart,Cashier
STAFF00082,STORE037,Henry,Smith,Cashier
STAFF00083,STORE019,Kristina,Miller,Manager
STAFF00084,STORE039,Matthew,Chandler,Cashier
STAFF00085,STORE055,John,Bailey,Cashier
STAFF00086,STORE046,Patricia,Rodriguez,Manager
STAFF00087,STORE072,Robyn,Simon,Sales
STAFF00088,STORE048,Anthony,Barnes,Sales
STAFF00089,STORE037,Edward,Berry,Manager
STAFF00090,STORE007,Helen,Russo,Stocker
STAFF00091,STORE008,Sara,Hickman,Manager
STAFF00092,STORE018,Cassandra,Dunlap,Manager
STAFF00093,STORE058,Amanda,Cooley,Sales
STAFF00094,STORE075,Nathan,Pierce,Sales
STAFF00095,STORE045,Bradley,Kelley,Cashier
STAFF00096,STORE005,Natalie,Boyle,Stocker
STAFF00097,STORE048,Anthony,Vaughn,Manager
STAFF00098,STORE037,Matthew,Wallace,Manager
STAFF00099,STORE069,Morgan,Nash,Stocker
STAFF00100,STORE033,Wesley,Rogers,Cashier
STAFF00101,STORE065,Jasmine,Watson,Stocker
STAFF00102,STORE005,Kyle,Hughes,Stocker
STAFF00103,STORE077,Benjamin,Johnson,Cashier
STAFF00104,STORE072,Timothy,Martinez,Manager
STAFF00105,STORE045,David,Sloan,Stocker
STAFF00106,STORE051,Zachary,Johnson,Cashier
STAFF00107,STORE020,Alicia,Duarte,Sales
STAFF00108,STORE043,Jeremy,Lee,Manager
STAFF00109,STORE001,Amber,Lopez,Cashier
STAFF00110,STORE056,Sara,Webb,Sales
STAFF00111,STORE047,Michael,Zhang,Stocker
STAFF00112,STORE032,Daniel,Santos,Stocker
STAFF00113,STORE079,Douglas,Ho,Sales
STAFF00114,STORE055,Susan,Park,Cashier
STAFF00115,STORE048,Richard,Rubio,Cashier
STAFF00116,STORE045,Cole,Davis,Stocker
STAFF00117,STORE011,Kelsey,Morris,Sales
STAFF00118,STORE072,Dawn,Ward,Cashier
STAFF00119,STORE020,Jason,Scott,Manager
STAFF00120,STORE056,Vicki,Jones,Stocker
STAFF00121,STORE032,Christopher,Parker,Stocker
STAFF00122,STORE070,Alan,Torres,Stocker
STAFF00123,STORE077,Evan,Moran,Stocker
STAFF00124,STORE056,Heather,Delgado,Stocker
STAFF00125,STORE010,Margaret,Moore,Manager
STAFF00126,STORE015,Cassandra,Roberson,Stocker
