SupplierID,SupplierName,ContactName,ContactPhone,Address,City,State,Country,ZipCode,DateCreated,DateModified,RowHash
78441627-5dc8-4d21-9e7e-b5de61c1836f,"Horne, Hall and Alexander",Amy Wise,001-528-905-6651x837,771 Tiffany Harbor Apt. 450,Romeroborough,North Carolina,Armenia,52283,2022-07-12,2025-03-04,0fc0d249ecc0c2f1d656b953e5581bee
a8886235-f9dd-457e-b8bf-2541c29c8620,Hernandez Inc,Laura Vargas,+1-646-924-3435x48695,21560 William Circles,New Amyborough,Michigan,Trinidad and Tobago,41178,2022-10-21,2025-05-01,a2f2a5d6e14ce20cbfcddb8df47c187c
65e9b285-9f58-479d-8730-79837ec6cd57,James-Smith,Robert Lewis,(474)769-1161x2215,96558 Mckinney Station,Lake Annaton,Arizona,Solomon Islands,40176,2022-06-28,2025-03-02,26d274cf60dac14777d65343bd97ba22
e6d7f390-e2e8-4324-b1c2-59686ed30bbb,"Guzman, Lewis and Watson",Jennifer Espinoza,(013)855-0029x5738,01245 Davis Plains,West Angelicafurt,West Virginia,United States Virgin Islands,86231,2023-03-21,2025-01-18,c29e0406554210d10f40cf2103443809
80fefa0a-4f23-457d-a9b8-0a42d179e050,"Phillips, Carroll and Lane",James Mueller,(055)191-9396x871,717 Amanda Row Suite 929,Lake Frank,Oklahoma,United States of America,94268,2023-03-11,2025-03-13,c3e54a7cea7b783cad1af946515baaaf
5446b455-36c0-41bd-8330-d72404d16428,Henry Ltd,Jay Hernandez,001-332-134-9522,400 Timothy Springs,South Tylerhaven,Oklahoma,Guernsey,51010,2022-07-11,2025-03-29,a580e133e0fb83b8d6c258e193509e5e
68dcee38-64e5-4110-8e1e-94d3cb77fbe1,Weaver-Price,Michael Kemp,(620)306-9516,1211 Williams Row Apt. 811,Port Elizabeth,Tennessee,Slovakia (Slovak Republic),30650,2023-04-16,2025-04-30,d5b8f659cc75e1c847c49de6d6e02921
c764644f-2d8b-4a25-b637-6363eec2e85d,"Howe, Gonzalez and White",Shaun Romero,920.623.1459x6889,96196 Tammy Knolls,West Frankland,Georgia,Saudi Arabia,06917,2023-04-04,2025-02-12,c0135c2445fb3fc0c17ed9be9ea15fed
890728a3-1f15-40c4-9f33-588c319e4d6b,Smith-Martinez,Patty Pugh,+1-044-608-1971,83469 Baker Port Suite 060,Mariahaven,Arizona,Isle of Man,17763,2023-02-04,2025-03-30,6ae868767544ededf786594f3ffa82c1
7c4af886-f52d-4c33-bcff-9789babdd7c6,Peterson-Reynolds,Melinda Little,(907)429-4142x904,7625 Emily Road Suite 766,New Lindsayborough,Arizona,Bhutan,51716,2023-05-11,2025-02-25,2c91d0c8e0035919fd38cf7ca309524a
2d161670-8c69-4e18-a8fe-decce52732bd,Taylor-Baird,John Carter,001-685-902-6297x611,2866 Katrina Inlet Apt. 468,Webbton,Delaware,Indonesia,48942,2022-10-05,2025-01-31,0e9e5303ab597ca1715aa5846331b2cb
d98166ba-9bce-4d06-899f-ee399a53bedf,Reese-Underwood,Christopher Prince,231.252.4235x2560,589 Greene Wells,South Hectorstad,Arkansas,Guadeloupe,20187,2022-05-15,2025-05-02,13cd0c348716118e7dbb505521936a9b
416412a1-3616-4692-af09-d48f4b258258,Odonnell-Prince,Randall Lopez,845-605-9934,22109 Nicole Wells,Sabrinabury,Washington,Botswana,36829,2023-04-29,2025-05-05,a82d934a5c3e7a655121c54b46549cf7
422d3cfb-a615-4379-8678-ceb91dcc6a81,Campbell Inc,Kimberly Tyler,343.779.8240x21168,13799 Wayne Shoal,North Lindashire,Missouri,Canada,41229,2022-07-14,2025-03-21,7c18bdf893a5409641ffbfbd65c08d46
bbaee465-d02b-468a-b50b-067e6bc68e67,Holder-Stone,Renee Cochran,+1-558-774-5263x48882,725 Phillips Ferry,Lake Marc,Massachusetts,Brazil,09362,2023-04-26,2025-04-01,21fb7121e853484f2093f333cac87c39
b29cfbb8-f493-4460-ad6d-59d18b18a0c4,"Frazier, Todd and Spencer",William King,(388)287-2047x676,0828 Evans Squares Suite 120,Edwardsland,Utah,Tajikistan,28700,2023-02-14,2025-03-17,440621ca73f34692191f44aabd6b6dd5
d15f6ed4-f9b3-41d6-bd89-24154fc5aa0e,"Ward, Lopez and Watson",Brandy Anderson,+1-074-144-3010x61445,964 Zimmerman Inlet,Sarahborough,California,Nauru,80760,2023-04-07,2025-04-03,8ef1f95c0c67fcd8eb4e526ceda38fda
003841f7-ef6d-4f91-b93c-4ae41b69d21b,Cochran Ltd,Cristina Cardenas,972-969-7010x034,4997 Rodgers Plains,Lisachester,South Dakota,Bangladesh,96663,2022-12-04,2025-04-12,376664f711b8283a4faf92de1f27df1d
725b146e-9cff-4fed-8c33-99a9b2cd8ebe,"Davis, Cantu and Hunt",Michael Arias,(159)927-9437,82749 Stephanie Fords Apt. 122,East Monica,Massachusetts,Estonia,73475,2022-05-27,2025-03-27,0198559caeb9eb561377a6c5df1e7264
63c77a44-db83-43d0-b671-73d4f846b60b,Roberts and Sons,Veronica Dennis,001-836-874-7774x0703,6560 Emily Mission Suite 228,North Michelle,Idaho,Solomon Islands,90605,2023-01-17,2025-04-15,a930d350fa4918f911af5c75101122d6
f6223b7a-d6fb-4ec5-a898-6f8c823344a4,Martinez and Sons,Kathy Grimes,+1-278-472-6439,04596 Eileen Camp,Moralesfurt,Arizona,Tuvalu,36305,2022-12-08,2025-03-10,6a5cc592a98f3169d8ea27e3a4afa7fb
df6113ca-df8f-428e-afc8-25e46b387180,Davis and Sons,Thomas Harris,849-811-8465x12421,3781 Sherman Brook,Angiebury,Missouri,El Salvador,82541,2022-12-03,2025-01-19,eb23241fc1dae2303c70d6f040d7fbca
420f9abe-1464-45b5-86cd-4df0ab0f2ee8,Norris Ltd,Gregory Ward,+1-594-219-3793,63659 Thompson Locks,Pattersonfort,New Mexico,Libyan Arab Jamahiriya,48487,2022-12-18,2025-02-10,68d6ae3d840386bdb1eda2f904a00a41
8fcfbf53-8684-4250-8964-2b3be0d7212f,Kramer-Coleman,Reginald Davis,919-538-0884x267,39907 Wilson Way,North Cliffordland,Iowa,New Caledonia,14429,2022-09-18,2025-03-01,8b01b5112966834a489d52439d78db60
